Question Number,Questions,A1,A2,A3,A4,Correct Answer
Q 140.,Which judicial institute hear and decides property leasing cases:,(a)  Dubai Courts,(b)  DIFC Courts,(c)  Rental Dispute Center,(d)  Real Estate Regulatory Agency,Answer: (c)
Q 141.,"In your opinion, which of the below are key activities in a development process?",(a)  Sales and Leasing,(b)  Inception of Idea,(c)  Feasibility Study,(d)  Design,Answer: (f)
Q 142.,Who among the below has the least incentive to make a profit in a development project?,(a)  Developer,(b)  Consultant,(c)  Contractor,(d)  Local Authority,Answer: (d)
Q 143.,What could be a developers objectives in a property development project?,(a)  Profit,(b)  Status and Power,(c)  Social Responsibility,(d)  All answers are correct,Answer: (d)
Q 144.,Is it possible to register mortgage procedure only at the bank?,(a)  Sometimes,(b)  Yes,(c)  No,(d)  None of the answers are correct,Answer: (c)
Q 145.,Who are the relatives from first degree,"(a)  Father, mother, wife and children",(b)  Father and mother,"(c)  Spouse, sons and daughters",(d)  Brother and sister,Answer: (a)
Q 146.,Where do I find the escrow account of real estate development project?,(a)  Dubai Rest app (Mashrooi) and Dubai land department website,(b)  Dubai REST app (Mashrooi),(c)  Real estate legislation of Dubai,(d)  Dubai Land Department website,Answer: (a)
Q 147.,Where do I find my digital title deed issued by Dubai Land Department?,(a)  Dubai REST app owner's wallet,(b)  Dubai REST app public service,(c)  Registration trustee office,(d)  All answers are correct,Answer: (a)
Q 148.,Are non Arabic power of attorneys accepted to present the holder for change of owner's email and mobile in Dubai Land Department at property trustees office,(a)  No,(b)  Yes,(c)  Sometimes,(d)  Always,Answer: (a)
Q 149.,What are the most secure information required to access Dubai Land Department systems?,(a)  Emirates id if available,(b)  Email address,(c)  Mobile,(d)  None of the answers are correct,Answer: (a)
Q 150.,How can company access Dubai REST to inquire and transact on properties it owns?,(a)  Update company details with the authorized person to use the system at property trustee office,(b)  Register directly with the general manager emirates id,(c)  Login using trade license and expiry date,(d)  Company can not work on Dubai REST it is only for individual owners,Answer: (a)
Q 151.,Where do we find the zoning regulation for land in Dubai?,(a)  Property status inquiry on Dubai REST and Dubai Land Department website,(b)  Property status inquiry on Dubai now,(c)  UAE PASS application,(d)  All answers are correct,Answer: (a)
Q 152.,Is it possible to register mortgage procedure at the bank?,(a)  Yes,(b)  No,(c)  Partially,(d)  None of the answers are correct,Answer: (a)
Q 153.,How do you know return on investment of owned - leased residential unit?,(a)  All answers are correct,(b)  Using rental index,(c)  Using service charge index,(d)  Difference of current market price and bought price as well using amortization mortgage chart if property is financed,Answer: (a)
Q 154.,How do you know service charge rate history of certain property in Dubai?,(a)  Using service charge index,(b)  Using rental index,(c)  Difference of current market price and bought price as well using amortization mortgage chart if property is financed,(d)  All answers are correct,Answer: (a)
Q 155.,Which service on Dubai Land Department website gives you information if certain person currently owns property in Dubai?,(a)  Inquire whether a person owns a property,(b)  Property status inquiry,(c)  Land status inquiry,(d)  Procedure status inquiry,Answer: (a)
Q 156.,What are the real estate analysis domains available on Dubai REST?,(a)  All answers are correct,(b)  Property sales,(c)  Property mortgage,(d)  Property gifts,Answer: (a)
Q 157.,Why OTP is practiced for accessing Dubai land systems,(a)  All answers are correct,(b)  Protection of users,(c)  Data security and relevant access,(d)  Change of mobile or email and that is not updated in Dubai Land Department systems,Answer: (a)
Q 158.,Why OTP is practiced for accessing Dubai land systems?,(a)  All answers are correct,(b)  Users left their work and still have access to systems,(c)  Users change of role in the organizations,(d)  Protection against sharing user credentials with others,Answer: (a)
Q 159.,"How do broker guide his customer if he is asking about property market price in a project or area including specific usage, number of bedrooms, …",(a)  All answers are correct,(b)  Visit Dubai REST app - real estate transactions,(c)  Visit Dubai Land Department website - real estate transaction or open data section,(d)  Check what is listed on the local portals,Answer: (a)
Q 160.,Who can access greenlist?,(a)  All brokers,(b)  All brokers with valid license,(c)  Only relevant brokers according to property location,(d)  None of the answers are correct,Answer: (a)
Q 161.,Where do brokers get their leads from Dubai Land Department?,(a)  Greenlist,(b)  Dubai brokers,(c)  Real estate transactions,(d)  Open data on Dubai Land Department website,Answer: (a)
Q 162.,How do I contact Dubai Land Department technical support team?,(a)  By sending email to support@dubailand.gov.ae,(b)  Visit personally Dubai Land Department offices,(c)  By sending email to info@dubailand.gov.ae,(d)  By registering complaint on real estate violation system (rvs),Answer: (a)
Q 163.,Which practice will allow for cyber security breach?,(a)  All answers are correct,(b)  Sharing username and password,"(c)  Sharing emirates id, mobile and email",(d)  Make generic email for all employees to help in case one of them is absent,Answer: (a)
Q 164.,What are the reasons If I have bestowal land and it does not appear in my wallet in Dubai REST?,(a)  All answers are correct,(b)  Bestowal land is not registered in Dubai Land Department,(c)  Site map is never issued for the bestowal land by Dubai Land Department,(d)  User full account details are not correct in Dubai Land Department,Answer: (a)
Q 165.,Which channels can be used to register property valuation issued by Dubai Land Department?,(a)  All answers are correct,(b)  Dubai REST app.,(c)  Dubai Land Department website,(d)  Property trustees office,Answer: (a)
Q 166.,Which system of Dubai Land Department is managing issuing legal notices of unpaid service charge?,(a)  Mollak,(b)  Ejari,(c)  Rental dispute center (RDC),(d)  Real estate violations system (rvs),Answer: (a)
Q 167.,How Can owner request his dues due to termination by the developer?,(a)  Dubai REST - terminated sell contracts refund request,(b)  Dubai REST - cancelled project committee service,(c)  None of the answers are correct,,Answer: (a)
Q 168.,How can I register for refund/ compensation of cancelled development project?,(a)  Dubai REST - cancelled project committee service,(b)  Dubai REST - terminated sell contracts refund request,(c)  None of the answers are correct,,Answer: (a)
Q 169.,How can we validate broker card?,(a)  All answers are correct,(b)  Dubai REST - broker details,(c)  Dubai REST - validate e-card service,(d)  Trakheesi system,Answer: (a)
Q 170.,Which system is used by the banks to do the inflow and outflow payments of project?,(a)  Trust account system,(b)  Ejari,(c)  Registration trustees,(d)  Emortgage,Answer: (a)
Q 171.,"Where do I find the standard forms od Dubai Land Department (Ejari unified contract, Real Estate Sale Agreement Template, Property Viewing Agreement)",(a)  Dubai Land Department website,(b)  Management company,(c)  Dubai Now,(d)  Master developers,Answer: (a)
Q 172.,Who is the developer of Burj Khalifa?,(a)  Emaar,(b)  Nakheel,(c)  Dubai holding,(d)  Damac,Answer: (a)
Q 173.,Which of the following is example of immovable asset?,(a)  Land,(b)  Money,(c)  Car,(d)  Stock shares,Answer: (a)
Q 174.,What is immovable asset means?,(a)  Can be touched but not moved,(b)  Can't be touched or moved,(c)  Can be moved but not touched,(d)  Can be touched and moved,Answer: (a)
Q 175.,How do I know the rent range of property in year 2019?,(a)  Rental index service on Dubai REST or Dubai Land website,(b)  Submit request to Dubai Land Ejari team,(c)  Dubai pulse provide the details,(d)  None of the answers are correct,Answer: (a)
Q 176.,How do I know the rent range of property in year 2021?,(a)  Rental index service on Dubai REST or Dubai Land website,(b)  Submit request to Dubai Land Ejari team,(c)  Dubai pulse provide the details,(d)  None of the answers are correct,Answer: (a)
Q 177.,How many years data is displayed on Dubai REST as sales transactions conducted by the real estate broker?,(a)  All years,(b)  3 years,(c)  5 years,(d)  7 years,Answer: (a)
Q 178.,What are the types of Assets?,(a)  Capital Gain Assets and Income Producing Assets,(b)   Capital Gain Assets,(c)   Income Producing Assets,(d)   Golden Assets,Answer: (a)
Q 179.,REIT stands for,(a)   Real Estate Investment Trust,(b)   Real Estate International Trust,(c)   Real Enterprise Investment Tactic,(d)   Real Estate Investment Tactic,Answer: (a)
Q 180.,What are the elements of the Marketing Mix?,"(a)   Product, Price, Place, Promotion and People","(b)   Product, Price, Place and advertising","(c)   Property, Promotion, Price and Packaging","(d)   PR, online marketing, events, exhibitions and social media ads",Answer: (a)
Q 181.,When profiling prospective tenants you should consider …,(a)   Profession and current employer and  Overall household income of the tenant,(b)   Their looks and they way they dress,(c)   Profession and current employer,(d)   Overall household income of the tenant,Answer: (a)
Q 182.,"In order for a company to be eligible to hold the license for Real Estate Management Services, the following criteria must be satisfied:",(a)   It must be a Dubai based LLC and be owned by a Local/GCC National,(b)   It must have assets to the value of AED5m and be set up as an LLC,(c)   It must be a free zone company with at least 49% local ownership,(d)   It can be an offshore company with substantial assets and capital,Answer: (a)
Q 183.,Three friends jointly own a unit in a building.  You have been approached to manage the property.  As the Property Manager you can accept instructions from:,(a)   Two out of the three owners,(b)   Any one of the joint owners,(c)   All three owners together,(d)   An agent acting on behalf of any of the owners,Answer: (a)
Q 184.,"In a lease of residential property, both the Landlord and Tenant have obligations under the lease.  Which of the following is not an obligation of the Tenant (unless otherwise provided):",(a)   Maintenance and repair of the property,(b)   Pay rent and service charge,(c)   Pay for the provision of any utilities,"(d)   Return the premises to the Landlord in the same condition as received, subject to fair wear and tear",Answer: (a)
Q 185.,The Depreciated Replacement/Cost Method should be used for secured lending,(a)   True,(b)   False,,,Answer: (a)
Q 186.,Commercial property is considered a highly liquid investment,(a)   False,(b)   True,,,Answer: (a)
Q 187.,"If the owner of a property has received a special rate to transfer their mortgage loan from bank X to bank Y, how can they register the new mortgage at the Dubai Land Department?",(a)  Through registration trustee office.,(b)  Through property trustee office.,(c)  Dubai REST app,(d)  Through real estate developer if property is free hold.,Answer: (a)
Q 188.,"If a sale contract for a real estate property does not state the consideration to be paid for the property and is not signed by the parties, what is it considered?",(a)  Void,(b)  Valid,(c)  Executable,(d)  Unlimited,Answer: (a)
Q 189.,What is meant by the market value of a real estate property?,(a)  The price the property is sold for or an estimate of the present property plus future potential.,(b)  The price set by the owner,(c)  The price set by the buyer/ investor.,(d)  The price set by the broker considering the house history to determine its worth.,Answer: (a)
Q 190.,What does zoning of lands regulate?,(a)  All of the above,(b)  Density of population.,(c)  Height of buildings in an area.,(d)  Appropriate uses for the buildings.,Answer: (a)
Q 191.,What does zoning of lands not regulate?,(a)  Market value of property.,(b)  Density of population.,(c)  Height of buildings in an area.,(d)  Appropriate uses for the buildings.,Answer: (a)
Q 192.,Who are the main stakeholders in the real estate market?,"(a)  Users, owners, renters, developers, renovators, and facilitators.","(b)  Players, buyers, sellers, renovators, and facilitators.","(c)  Buyers, sellers, investors, and facilitators.","(d)  Buyers, sellers, and investors",Answer: (a)
Q 193.,"If the legal description is too lengthy to be included in the body of a sales contract, what should the broker or real estate developer do while preparing for the SPA or sales agreement?",(a)  Attach it to the contract and refer to it.,(b)  Ask their broker to verify to description because it should be short.,(c)  Write a second offer with just the legal description on it.,(d)  Just use the street address.,Answer: (a)
Q 194.,Which control is attributed to land usage?,(a)  Zoning,(b)  Building codes,(c)  Deed restrictions,(d)  Taxation,Answer: (a)
Q 195.,Which control is not attributed to land usage?,(a)  Land valuation,(b)  Zoning,(c)  Land building height allowed,(d)  Land office count allowed,Answer: (a)
Q 196.,What is a mortgage on a property?,(a)  Getting cash from the bank holding property as mortgaged.,(b)  Selling property in multiple year payment plan by the developer.,(c)  Releasing the property from bank custody at registration trustee office.,(d)  Registering mortgage at registration trustee office.,Answer: (a)
Q 197.,What is buying property with finance?,(a)  Buying the property get full or part as finance from bank.,(b)  Registering property as mortgaged at property trustee office.,(c)  Registering property as financed at e-notary.,(d)  Transfer of mortgage from bank to another for lower interest rate.,Answer: (a)
Q 198.,"In an inflationary economic situation, which of the following is applicable to interest rates?",(a)  Rise and houses prices rise,(b)  Rise and houses prices drop,(c)  Drop and houses prices rise,(d)  Drop and houses prices drop too.,Answer: (a)
Q 199.,What is the maximum number of owners that can be mentioned in the title deed of a property owned by 100 owners?,(a)  All owners,(b)  First 10 owners who have the prime shares,(c)  First 10 owners in alphabet order and not minors (less than 18 years old).,(d)  Up to 5 owners,Answer: (a)
Q 200.,Where can you find the actual price that a property was sold for?,(a)  Title deed,(b)  Contract A,(c)  Contract B,(d)  Contract I,Answer: (a)
Q 201.,What is the standard metric system used to measure area in Dubai?,(a)  Sqm,(b)  Sqft,(c)  Sqyd,(d)  Sq. Mile,Answer: (a)
Q 202.,What is the type of mortgage that starts at a fixed interest rate but can have an increase in interest and payments at different times?,(a)  An adjustable rate mortgage,(b)  A shared appreciation mortgage,(c)  A reverse annuity mortgage,(d)  A simple rate interest mortgage.,Answer: (a)
Q 203.,Equity is equal to ?????????????? - mortgage balance,(a)  Market value,(b)  Principal balance,(c)  Down payment,(d)  Total interest,Answer: (a)
Q 204.,What will appear on the closing statement of a property seller if he has accrued expenses?,(a)  A debit on the seller,(b)  A credit on the seller,(c)  A debit on the buyer,(d)  It does not appear on a seller statement.,Answer: (a)
Q 205.,What is mortgage balance?,(a)  The unpaid principal amount,(b)  Principal amount,(c)  Net operating income,(d)  The difference between the present value of cash inflows and present value of cash outflows.,Answer: (a)
Q 206.,What are operating expenses?,(a)  Expenses needed to operate a building in a year.,(b)  Expenses needed to operate a building,(c)  Basic expenses needed to operate a building.,(d)  Basic expenses needed to operate a building yearly.,Answer: (a)
Q 207.,What is vacancy rate?,(a)  The percent of units in a building that are not occupied.,(b)  The percent of units in a building that are occupied,(c)  The percent of units in a building that are not vacant.,(d)  The percent of units in a building that are rented.,Answer: (a)
Q 208.,What is acquisition cost?,(a)  Property purchase price,(b)  Property purchase price - expenses,(c)  Property selling price,(d)  Property purchase price depreciation.,Answer: (a)
Q 209.,"If your salary is currently AED 74,000 and grows by 5% annually, what will your salary be in 20 years in AED?","(a)  AED 196,344","(b)  AED 178,344","(c)  AED 159,642","(d)  AED 148,000",Answer: (a)
Q 210.,What type of loan is typically approved quickly and has a low down payment?,(a)  Higher costs and interest rate,(b)  A longer amortization period,(c)  Lower cost and interest rate,(d)  An adjustable rate,Answer: (a)
Q 211.,What is a real estate broker?,(a)  A middleman who brings parties t together and assist in negotiating contracts between them against fee or commission.,(b)  The person who benefits from the act or acts of another,(c)  The transferrer of title deed from one person to another by use of a written instrument.,(d)  The person who receives interest in real estate property.,Answer: (a)
Q 212.,What is the process of evicting a tenant from a real estate property?,(a)  The lawful expulsion of an occupant from real estate property.,(b)  The unlawful expulsion of an occupant from real estate property.,(c)  The reversion of property to the government if the owner dies not having heirs or will.,(d)  The court decision for taking private property for public use.,Answer: (a)
Q 213.,What is real estate property net income?,(a)  Income remaining after all expenses or reductions.,(b)  Income remaining after all service charge reduction and rent addition.,(c)  The excess of present value,(d)  The excess of future value.,Answer: (a)
Q 214.,What is a deed in the context of real estate?,(a)  A legal document that aims to transfer ownership of land from one party to another.,(b)  The legally recognized evidence of a person's right to possess a property,(c)  A document that aims to transfer ownership of land from one party to another.,(d)  A blueprint document that aims to transfer ownership of land from one party to another.,Answer: (a)
Q 215.,What is a title in the context of real estate?,(a)  The legally recognized evidence of a person's right to possess a property.,(b)  A legal document that aims to transfer ownership of land from one party to another.,(c)  The recognized evidence of a person's right to possess a property.,(d)  A blueprint document that aims to transfer ownership of land from one party to another.,Answer: (a)
Q 216.,What is real estate property appreciation?,(a)  The increase of property market value over its value at some previous point.,(b)  A loss of real estate property value over period of time.,(c)  The income from real estate property improvement that came as an illegal intrusion upon another's property.,(d)  The total of all financial interests on real estate property.,Answer: (a)
Q 217.,What is real estate property depreciation?,(a)  A loss of real estate property value over period of time.,(b)  The increase of property market value over its value at some previous point.,(c)  The income from real estate property improvement that came as illegal intrusion upon another's property.,(d)  The total of all financial interests on real estate property.,Answer: (a)
Q 218.,What is owner association?,(a)  An organization composed of unit owners in which membership is automatic upon purchasing of a unit,(b)  A government body elected by association members,(c)  Regulation committee by which owner must abide,(d)  Advisory board of directors that take care of condominium on day-to-day basis,Answer: (a)
Q 219.,"I am not owner of property and is requested to submit certificate proofing I do not own property in Dubai, which of the following is the service I can apply for?",(a)  To whom it may concern,(b)  Title deed verification,(c)  Valuation certificate,(d)  Lost and found title deed service,Answer: (a)
Q 220.,"I am an owner and enabled service of green list to sell my property through real estate brokers, I changed my mind and decided not to sell the property, how can I avoid receiving brokers malicious calls?",(a)  Deactivate green list service form Dubai rest app,(b)  Deactivate green list service from Trakheesi system,(c)  Deactivate green list service from Dubai brokers,(d)  All of the above,Answer: (a)
Q 221.,Which of the property types can be registered for all heirs?,(a)  All real estate property types,(b)  Land only,(c)  Land and villa,"(d)  Land, villa, townhouse and flat",Answer: (a)
Q 222.,Which of the following is not an example for middleman?,(a)  Auto approved digital transaction,(b)  Property trustee,(c)  Broker,(d)  Registration trustee,Answer: (a)
Q 223.,Which of the following methods is used in Dubai Land Department rental index to specify rent market value of labour camp?,(a)  Using area and number of rooms,(b)  Using number of bedrooms,(c)  Using area size and area/ location,"(d)  Using property type, area, area size",Answer: (a)
Q 224.,How can I assure that certain owners are owning property in freehold areas in Dubai?,(a)  Using title deed verification service on Dubai rest,(b)  Physically check owners title deed original copy,(c)  Using owners emirates id,(d)  Check with the real estate developer who sold him the property,Answer: (a)
Q 225.,How can I assure that certain owners are owning property in non-freehold areas in Dubai?,(a)  Using title deed verification service on Dubai rest,(b)  Physically check owners title deed original copy,(c)  Using owners emirates id,(d)  Check with the Dubai municipality,Answer: (a)
Q 226.,"I had enabled green list service on Dubai Rest for brokers to contact me to sell my property, after a period sold my property and delisted it from green list, still receiving call by the brokers, where can I register complaint?",(a)  Register complaint on real estate violation system (RVS),(b)  Send letter to Dubai Land Department informing them of the broker details and type of problem you are facing,(c)  Call Dubai Land Department call centre (8004488),(d)  Visit Dubai Land Department control and inspection department to report the case,Answer: (a)
Q 227.,Which channel facilitates updating owners email address?,(a)  Dubai rest app.,(b)  Dubai Land Department website,(c)  Property trustee office,(d)  All of the above,Answer: (a)
Q 228.,What is encroachment?,(a)  Intrusion on a persons territory or property,(b)  Another word for personal property,(c)  The failure to complete an agreement per agreed terms,(d)  A formal legislative discussion covering zoning adjustments,Answer: (a)
Q 229.,What is demand?,(a)  Is the total quantity that buyers are willing to buy at a given time at certain prices,(b)  Is the total quantity that sellers are willing to offer at a given time at certain prices,(c)  Is the total quantity that buyers are willing not to buy at a given time at certain prices,(d)  Is the total quantity that sellers are not willing to offer at a given time at certain prices,Answer: (a)
Q 230.,What is voidable contract?,(a)  A contract that is not legally binding on any of the parties that made it,(b)  A contract that is able to be voided by one party,(c)  A legally enforceable agreement,(d)  Contract performance according to precise terms agreed upon,Answer: (a)
Q 231.,What is a contract?,(a)  A legally enforceable agreement to do something,(b)  A contract that is able to be voided by one party,(c)  A contract that is not legally binding on any of the parties that made it,(d)  Contract performance according to precise terms agreed upon,Answer: (a)
Q 232.,What is lessor?,(a)  Landlord,(b)  Tenant,(c)  Broker,(d)  Bank,Answer: (a)
Q 233.,What is a broker?,(a)  An independent person who negotiates transactions for a fee,(b)  An independent person who negotiates transactions for free,(c)  A salesperson employed by broker,(d)  A business man operated under any name other than the owners name,Answer: (a)
Q 234.,What is a middleman?,(a)  A person who brings two or more parties together,(b)  A broker who presents one or two parties in a real estate transaction,(c)  A broker employed by the owner,(d)  A broker employed by the seller,Answer: (a)
Q 235.,What is trust account?,(a)  A separate bank account to hold customers money,(b)  A separate government bank account to hold customers money,"(c)  A relationship that requires trust, honesty and good ethics conduct",(d)  A separate bank account to hold developers money,Answer: (a)
Q 236.,What is an escrow account?,"(a)  Contractual arrangement in which a bank receives and disburses money for the primary transacting parties, with the disbursement approved by Dubai Land Department and the bank",(b)  A separate government bank account to hold customers money,"(c)  A relationship that requires trust, honesty and good ethics conduct",(d)  A separate bank account to hold developers money,Answer: (a)
Q 237.,What is notary public?,(a)  A person authorized to take acknowledgement,(b)  A person trained and employed to examine public records,(c)  Title that is free from reasonable doubts,(d)  Court- ordered hearer,Answer: (a)
Q 238.,What is breach of contract?,(a)  Failure without legal excuse to perform any promise called for in a contract,(b)  A contract that is able to be voided by one party,(c)  A legally enforceable agreement,"(d)  To complete, perform, or carry out something",Answer: (a)
Q 239.,What is green list?,(a)  List of users registered on Dubai rest willing to get in touch with real estate brokers for property sale or lease,(b)  List of users registered on Dubai rest not willing to get in touch with real estate brokers for property sale or lease,(c)  List of owners not willing to get in touch with real estate brokers for property sale or lease,(d)  List of owners not willing to get in touch with real estate brokers for property sale or lease,Answer: (a)
Q 240.,What are service charge fees?,(a)  Charges levied against unit owners to cover the cost of maintaining the common areas,(b)  Charges levied against unit owners to cover the cost of maintaining the unit texture and fa?ade from outside,(c)  Charges levied against unit owners to cover the cost of maintaining the common areas and unit texture and fa?ade from outside,(d)  Money kept a side from the budget for expenses that do not occur every month,Answer: (a)
Q 241.,What is management company?,(a)  Advises board of directors; takes care of day to days tasks,(b)  An organization composed of unit owners in which membership is automatic upon purchasing of a unit,(c)  Regulation committee by which owner must abide,(d)  A government body elected by association members,Answer: (a)
Q 242.,What is the validity of green list request?,(a)  Remains valid till requester stops it,(b)  1 month,(c)  6 months,(d)  1 year,Answer: (a)
Q 243.,What is code of ethics?,(a)  A guiding set of principles intended to instruct real estate professionals to act in a manner that is honest and that is beneficial to all stakeholders involved,(b)  Private standards by which Dubai real estate stakeholders agree to abide,(c)  Formalizes the working arrangement between member of real estate stakeholders,(d)  Requirement for real estate broker when registering a transaction,Answer: (a)
Q 244.,How do I know that there block on certain property?,(a)  Using property status inquiry service on Dubai Land Department website,(b)  Check with Dubai courts,(c)  Check with rental dispute centre,(d)  Check with management company,Answer: (a)
Q 245.,How do I know the service charge on real estate property?,(a)  Using property status inquiry service on Dubai Land Department website,(b)  Check with Dubai courts,(c)  check with rental dispute centre,(d)  Check with management company,Answer: (a)
Q 246.,What is a thin market?,(a)  When there are a few buyers and sellers at the same time,(b)  When supply is higher than demand,(c)  When demand is higher than supply,(d)  When there are many buyers and many sellers at the same time,Answer: (a)
Q 247.,What is a broad market?,(a)  When there are many buyers and many sellers at the same time,(b)  When supply is higher than demand,(c)  When demand is higher than supply,(d)  When there are a few buyers and sellers at the same time,Answer: (a)
Q 248.,What is meant by the market value of a real estate property?,(a)  The price the property is sold for or an estimate of the present property plus future potential.,(b)  The price set by the owner,(c)  The price set by the buyer/ investor,(d)  The price set by the broker considering the house history to determine its worth.,Answer: (a)
Q 249.,How can I systematically track and monitor the construction progress of a specific project currently under development?,(a)  Dubai rest application,(b)  By telephone call to Dubai Land Department call centre,(c)  Visit projects section at Dubai Land Department and ask,(d)  By sending email to the technical support team at Dubai Land Department,Answer: (a)
Q 250.,Where can I locate the guidelines for determining rent increase stipulations for properties in Dubai?,"(a)  Dubai Land Department website, rules and regulations section","(b)  Dubai Land Department website, open data section","(c)  Dubai Land Department website, user guide section","(d)  Dubai Land Department website, downloads section",Answer: (a)
Q 251.,Which feature within the Dubai Rest app offers information about the permissible zoning regulations for specific land areas in Dubai?,(a)  Property status inquiry,(b)  Title deed verification,(c)  Service charge index,(d)  Rental index,Answer: (a)
Q 252.,Which system is used to register the offplan sales at the Dubai Land Department?,(a)  Oqood,(b)  Registration trustees,(c)  Property trustees,(d)  ايجاري,Answer: (a)
Q 253.,Which service indicator provides an estimate of the revenue generated by the real estate property?,(a)  Rental calculator,(b)  Service charge invoice,(c)  Valuation certificate,(d)  Daily transactions inquiry,Answer: (a)
Q 254.,How do I know the DEWA outstanding bill due on real estate property?,(a)  Using property status inquiry service on Dubai land department website,(b)  Check with Dubai courts,(c)  Check with Rental Dispute Center,(d)  Check with management company,Answer: (a)
Q 255.,How do I know the zoning regulation details on a land?,(a)  Using property status inquiry service on Dubai land department website,(b)  Check with Dubai courts,(c)  Check with Rental Dispute Center,(d)  Check with management company,Answer: (a)
Q 256.,What is sellers market?,(a)  When demand is higher than supply,(b)  When supply is higher than demand,(c)  When there are a few buyers and sellers at the same time,(d)  When there are many buyers and many sellers at the same time,Answer: (a)
Q 257.,What is buyers market?,(a)  When supply is higher than demand,(b)  When demand is higher than supply,(c)  When there are a few buyers and sellers at the same time,(d)  When there are many buyers and many sellers at the same time,Answer: (a)
Q 258.,"If a Developer seeks to handover a unit that is larger than the unit mentioned in the Contract, the Developer may:",(a)  The real estate developer may collect the price difference from the buyer,(b)  The developer may not charge any other money from the buyer.,(c)  The increase or decrease of 5% of the area is calculated according to the law,,Answer: (c)
Q 259.,Registration of the Buyer?s mortgage with DLD is the responsibility of:,(a)  Mediator,(b)  Bank,(c)  Buyer,(d)  Registration of the buyer mortgage with DLD,Answer: (c)
Q 260.,"If a registered broker is representing both parties in a transaction, it is his/her responsibility to treat them both fairly equal, and at the same time to promote both clients? interests, even if it means losing his/her commission.",(a)  Correct,(b)  Incorrect,,,Answer: (a)
Q 261.,"To register a mortgage with Dubai Land Department (DLD), the fee is:",(a)  There is no fee,(b)  0.25% of the mortgage amount,(c)  0.25% of the purchase price.,,Answer: (b)
Q 262.,"If the selling price of a property as indicated on Form F is AED 1,750,000. The transfer fee will be as follows:","(a)  AED 75,000 payable to the Dubai Land Department via a manager check.","(b)  AED 35,000 payable from the seller to the real estate developer via a manager check and AED 35,000 payable by the buyer to the real estate developer via a manager cheque","(c)  AED 70,000 payable to the Dubai Land Department via a manager check","(d)  AED 70,000 payable from Buyer to Seller by Manager Check.",Answer: (c)
Q 263.,In the event that the sold property is leased and sold during the rental period:,"(a)  The seller is entitled to retain the full value of the rent collected from the tenant, regardless of the date of the transfer of ownership",(b)  The value of the annual rent allowance must be in full to the buyer,(c)  The share of each party is calculated according to the period of ownership of the property during the term of the lease,,Answer: (c)
Q 264.,"If a Developer seeks to handover a unit that is substantially smaller than the size of the unit mentioned in the contract, a Buyer may:",(a)  File a civil claim against the Developer to cancel the Contract and refund the contract price,(b)  Complain to DREI,(c)  Do nothing,,Answer: (a)
Q 265.,"Upon the settlement of the Seller mortgage, his bank issues the mortgage clearance certificates (release letters) to:","(a)  Seller, Buyer, Developer","(b)  DLD, Bank, Buyer","(c)  Seller, DLD, Developer","(d)  Buyer, DLD, Developer",Answer: (c)
Q 266.,The following cheques are required to block a property at DLD /registration trustee offices:,(a)  Cheque payable to the bank to settle the Seller mortgage,(b)  Cheque payable to DLD for transfer fees,(c)  Cheque payable to the Seller for the remaining balance,(d)  All answers are correct,Answer: (d)
Q 267.,When selecting comparable units to conduct a CMA:,(a)  Select comparable units that share as many features as possible with the subject property,(b)  All answers are correct,(c)  Limit your CMA to upto six comparable units,(d)  Zoom-in on the differences and make the necessary adjustments,Answer: (b)
Q 268.,"For a Seller with a mortgaged property, the liability letter should be in Arabic and should be addressed to:",(a)  Dubai Land Department,(b)  Seller,(c)  Developer,,Answer: (a)
Q 269.,The Buyer signs a Contract for a unit that is occupied by a Tenant. The transfer will occur after 2 months. When can the Buyer expect to receive vacant possession in accordance with the law?,(a)  After the expiry of 3 months notice,(b)  Upon transfer,(c)  As soon as the Tenant is notified of the change in ownership,(d)  After the expiry of 12 months notice,Answer: (d)
Q 270.,"In a CMA exercise, one of the comparable units is exactly the same as the subject unit (unit to be listed) EXCEPT that the comparable unit has one extra bedroom and one extra bathroom than the subject unit.  The comparable unit was sold at AED 2,000,000. The added value of the extra bedroom is AED 50,000. The added value of the extra bathroom is AED 20,000. What should be the adjusted value of this comparable?","(a)  AED 1,950,000","(b)  AED 1,930,000","(c)  AED 2,050,000","(d)  AED 2,070,000",Answer: (b)
Q 271.,"In circumstances where a Buyer defaults on his contractual obligations under a Sale and Purchase Agreement (SPA), the Developer is not entitled to cancel the SPA and is not entitled to keep any of the monies paid by the Buyer.",(a)  Incorrect,(b)  Correct,,,Answer: (a)
Q 272.,In the presence of a Power of Attorney (POA) in the sale process:,(a)  The real estate broker has no right to represent his client under a POA in real estate transactions,(b)  The real estate broker who represents his client under a POA is entitled to receive his commission in full upon completion of the sale,(c)  The real estate broker who represents his client under a POA is entitled to receive his full commission even if the sale is not completed,(d)  The real estate broker who represents his client under a POA is not entitled to receive his commission unless this was agreed in writing with the client,Answer: (a)
Q 273.,A mortgage registration fee of 4% of loan value is to be paid to DLD when a buyer is granted a loan to purchase a property. The same should be paid equally by the buyer and the bank.,(a)  Correct,(b)  Incorrect,,,Answer: (b)
Q 274.,A property can be held by leasehold  by a non GCC citizen for a maximum of:,(a)  99 years,(b)  A leasehold property can be held for life,(c)  Leasehold is only available to GCC nationals,(d)  10 years,Answer: (a)
